"Cust_No","Cust_Name","Street_Address","City","State","Zip_Code","Credit_Limit","Tax_ID","Sales_Rep"
"35189","VERSA TIRES","51001 BORNEO RD","PITTSBURGH","TX","75686",32000,"205-11-3654","000120 - Sarah Gamp"
"444413","EQUITABLE CORPORATION","6300 METZEROTT RD","LOUISVILLE","CO","80027",22000,"927-95-3640","000230 - Thomas Pinch"
"463451","BLUE ATLANTA","301 E 2ND ST","ST LOUIS","MO","63131",53000,"322-56-2428","000350 - Jonas Chuzzlewit"
"269267","UNIVERSITY NATIONAL","9600 MARKET ST","SCARSDALE","NY","10583",22000,"425-59-6341","000290 - Seth Pecksniff"
"359310","SECOND BONNET COMMERCIAL","20500 AMERICAN RD","RICHMOND","VA","23219",60000,"301-17-8155","000310 - Montague Tigg"
"519311","QUORUM JOY","650 BROADWAY","LA JOLLA","CA","92037",59000,"117-41-4958","000230 - Thomas Pinch"
"564291","MICHIGAN OILFIELD INC.","8335 GRANDVIEW AVE","WILLOUGHBY","OH","44094",8000,"551-67-5886","000350 - Jonas Chuzzlewit"
"815062","BANCO INC.","4441 N 12TH ST","BRONX","NY","10467",66000,"681-76-5445","000290 - Seth Pecksniff"
"277097","OFFICE COMPUTER LTD.","101 LOCUST AVE","LOWELL","MA","01851",60000,"498-62-8425","000290 - Seth Pecksniff"
"820025","UNITED CITY","920 4TH STREET","BRIDGEWATER","NJ","08807",46000,"784-14-2582","000290 - Seth Pecksniff"
"231494","EMPLOYMENT MEDIA LTD.","57 W 66TH ST","ELK GROVE VILLA","IL","60007",63000,"809-57-7141","000350 - Jonas Chuzzlewit"
"795401","METROPOLITAN PHARMACEUTIC","693 DELAWARE AVE","CORNING","NY","14830",51000,"695-85-7907","000290 - Seth Pecksniff"
"081559","KIDDER ENTERPRISES","2900 HOLDREGE ST","STAMFORD","CT","06902",49000,"550-33-3552","000290 - Seth Pecksniff"
"878035","BLUE SERVICES GROUP","7600 WAKE FOREST RD","MALVERN","PA","19355",79000,"852-13-4374","000290 - Seth Pecksniff"
"258024","FARMERS LOTTERY","1260 LIEWIT PLAZA","LAWRENCE","KS","66045",81000,"884-62-5591","000120 - Sarah Gamp"
"620304","BELAMINA NATIONAL INC.","9451 WALNUT ST","BURLINGTON","NC","27215",94000,"787-85-7665","000310 - Montague Tigg"
"504356","UNION NATIONAL","51557 TELEGRAPH RD","HAZELWOOD","MO","63042",45000,"999-39-7599","000350 - Jonas Chuzzlewit"
"065003","UNIVERSITY ELECTRONICS","7000 S WABASH AVE","BURLINGTON","NC","27215",10000,"170-78-2686","000310 - Montague Tigg"
"297397","ACCEL ENTERPRISES","1000 STRAYER RD","BROOKLINE","MA","02167",72000,"370-59-7549","000290 - Seth Pecksniff"
"051593","CONNECTICUT CORP.","600 PARAGON DR","BROOKLYN","NY","11201",80000,"308-85-5609","000290 - Seth Pecksniff"
"262001","BULLY INDUSTRIES","8 WEST STREET","LAS VEGAS","NV","89109",53000,"178-49-8159","000230 - Thomas Pinch"
"797352","FIRST HEALTHCARE","88 STATE ST","AUSTIN","TX","78752",38000,"436-45-1111","000120 - Sarah Gamp"
"914508","SALT BANK OF AMERICA","401 N BROADWAY","BENTONVILLE","AR","72712",27000,"524-43-4255","000120 - Sarah Gamp"
"962353","SOURCE TELEX","200 MARKET ST","BATTLE CREEK","MI","49017",44000,"334-16-5433","000350 - Jonas Chuzzlewit"
"513574","MEDITRONIC TECHNOLOGY","7827 CHEMO BLVD","CALABASAS","CA","91302",27000,"645-44-8014","000230 - Thomas Pinch"
"230575","GRAND LTD","THREE FIRST CITY PL","SANTA FE","NM","87501",98000,"519-56-8868","000230 - Thomas Pinch"
"559491","VINNELL JOY & CO.","901 E JOPPA RD","RICHLAND","WA","99352",66000,"659-27-1946","000230 - Thomas Pinch"
"207275","INTER COMPANY TRADING","2600 S ULSTER ST","PROVO","UT","84604",91000,"382-80-5634","000120 - Sarah Gamp"
"329169","1ST TECHNOLOGY GROUP","7837 WALMSLEY AVE","SECAUCUS","NJ","07094",25000,"587-29-5867","000290 - Seth Pecksniff"
"056016","CITIZENS INTERNATIONAL","110 W FRANKLIN ST","MOLINE","IL","61265",15000,"104-72-721","000350 - Jonas Chuzzlewit"
"242605","FORT DEPT.","7918 ABC ST","WILKESBORO","NC","28697",61000,"536-48-2266","000310 - Montague Tigg"
"478604","NATURAL INTERNATIONAL","39 NORTH RD","FORT WASHINGTON","PA","19034",31000,"437-21-3218","000290 - Seth Pecksniff"
"641464","MAYBAN UNIVERSITY","85 TRINITY AVE SW","TWINSBURG","OH","44087",59000,"498-30-6568","000350 - Jonas Chuzzlewit"
"176437","FAIR INDUSTRIES","906 W 14TH ST","FORT SMITH","AR","72901",40000,"556-50-9013","000120 - Sarah Gamp"
"512328","LIFEGUARD SOFTWARE","1847 SANTA FELIPA ST","BASKING RIDGE","NJ","07920",99000,"102-51-2365","000290 - Seth Pecksniff"
"264629","BLACK INTERNATIONAL","830 CENTRAL AVE","NEWARK","NJ","07102",50000,"343-42-5236","000290 - Seth Pecksniff"
"113236","WILKINS MARKETS","511 OLIVE ST","CLAREMONT","CA","91711",45000,"992-23-6114","000230 - Thomas Pinch"
"516372","SECOND POWER CORP","71130 SUNRISE VALLEY DR","NORTH HOLLYWOOD","CA","91608",29000,"372-84-5852","000230 - Thomas Pinch"
"812465","FIRST UNIVERSITY","500 NORTH RIVERSIDE PLAZA","CHERRYVILLE","NC","28021",39000,"627-83-6485","000310 - Montague Tigg"
"097627","STEPPING ELECTRONICS","901 N ELM","NEWPORT NEWS","VA","23607",78000,"331-96-8553","000310 - Montague Tigg"
"376005","STRATEGIC TECHNOLOGY","301 RYAN PLACE","DURHAM","NC","27706",55000,"695-40-6117","000310 - Montague Tigg"
"836004","ADVANTAGE BELL","7610 CONVOY PLAZA","DENVER","CO","80202",23000,"970-12-4959","000230 - Thomas Pinch"
"869033","INTEGRATION BANCORP","8000 STANLEY DR","SHAWNEE MISSION","KS","66202",69000,"853-84-3289","000120 - Sarah Gamp"
"994403","INTERNATIONAL WAVE","8700 SANDERS RD","BOULDER","CO","80302",100000,"706-72-1211","000230 - Thomas Pinch"
"811002","CHEERSON MEDIA","ONE NATCO PLAZA","NEW YORK","NY","10018",16000,"831-57-7611","000290 - Seth Pecksniff"
"938010","SYSCOM GAS","632 W ALLEN ST","MELBOURNE","FL","32919",100000,"783-67-3521","000310 - Montague Tigg"
"739622","POLICY FINANCE INC.","801 EAST MAIN ST","MOBILE","AL","36625",76000,"982-18-8376","000120 - Sarah Gamp"
"250402","LOOP INDUSTRY","2900 RIVERGRADE RD","WILLOW GROVE","PA","19090",14000,"489-20-9736","000290 - Seth Pecksniff"
"419449","AUTA GENERAL","6201 W 5TH ST","WOODCLIFF LAKE","NJ","07675",5000,"665/58/5477","000290 - Seth Pecksniff"
"503458","ARCANA AERONAUTICAL","9701 INTERNATIONAL DR","BLOOMINGTON","IN","47405",35000,"258-35-4633","000350 - Jonas Chuzzlewit"
"549479","BOWAY NATIONAL","322 3RD AVE","PITTSBURGH","KS","66762",64000,"950-71-9711","000120 - Sarah Gamp"
"925007","GALAXY COMPANY","744 W 20TH ST","HARRISBURG","PA","17111",60000,"459-75-3825","000290 - Seth Pecksniff"
"562270","ALPHA SERVICE","1 HUGHESTON TOWERS","RED BANK","NJ","07701",64000,"537-80-3842","000290 - Seth Pecksniff"
"778088","POLYMAX SUBURBAN","85 COLUMBIA PLAZA","BOCA RATON","FL","33432",84000,"932-22-2838","000310 - Montague Tigg"
"518008","JUSTECH MANAGEMENT","570 STATE COURT DRIVE","VANDALIA","OH","45377",94000,"445-21-4316","000350 - Jonas Chuzzlewit"
"222006","DYNAMIX INDUSTRIES","951 WEST STREET","TOPEKA","KS","66612",41000,"610-12-3335","000120 - Sarah Gamp"
"501657","FAXON NATURAL RESOURCES","377 SAN MARINA DR","BRAINTREE","MA","02184",75000,"590-58-7036","000290 - Seth Pecksniff"
"561669","FIRST MEDIA CO.","47 PRINCETON RD","HARTFORD","CT","06156",35000,"","000290 - Seth Pecksniff"
"241370","BALSAM INDUSTRIES","345 SUMMER ST","PHILADELPHIA","PA","19107",22000,"181-30-7834","000290 - Seth Pecksniff"
"202028","SUPERSONIC CORP.","8626 LANDERBROOK DR","ST LOUIS","MO","63101",38000,"344-13-3510","000350 - Jonas Chuzzlewit"
"784647","FREUD CORPORATION","3500 EXCELSIOR BLVD","FAIRFAX","VA","22030",1000,"850-89-7479","000310 - Montague Tigg"
"090398","AMSER SYSTEMS","7400 LAS VEGAS COURT","COLUMBIA","SC","29211",75000,"416-77-5418","000310 - Montague Tigg"
"301037","JOINT NATIONAL INC.","800 PARK ST","WAYNE","NJ","07470",63000,"224-20-5070","000290 - Seth Pecksniff"
